# DENT SOCIETY – COMPLETE SEO PAGE EXECUTION TABLE
# 39 PAGES – 39 LINE ITEMS – FULL RULE SET

| # | URL | Page Type | Min Words | Primary Keyword Focus | Required Sections | Schema | Internal Links Required | CTA Placement |
|---|-----|-----------|-----------|-----------------------|------------------|--------|------------------------|--------------|
| 1 | / | Home | 1200 | hail repair Dallas | Hero, Process, Loaner, Guarantee, FAQ | Organization | /hail-damage-repair-dallas, /insurance-claim-assistance, /contact | Mid + Bottom |
| 2 | /about | About | 1000 | hail repair specialists Dallas | Authority, Process, Facility, QC | Organization | /hail-damage-repair-dallas, /contact | Bottom |
| 3 | /contact | Contact | 800 | hail repair Dallas contact | Form, Service Areas, Loaner mention | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 4 | /faq | FAQ | 1200 | hail repair FAQ Dallas | Insurance, Supplements, Loaner, Guarantee | FAQPage | /hail-damage-repair-dallas | Bottom |
| 5 | /blog | Blog Index | 800 | hail repair blog Dallas | Article grid, Categories | CollectionPage | /hail-damage-repair-dallas | None |
| 6 | /hail-damage-repair-dallas | Pillar | 1500 | hail damage repair Dallas | PDR, Insurance, Supplement fork, Loaner, Guarantee, FAQ | FAQPage + LocalBusiness | /insurance-claim-assistance, /free-loaner-vehicles, /contact | Mid + Bottom |
| 7 | /paintless-dent-repair-dallas | Pillar | 1200 | paintless dent repair Dallas | What is PDR, Benefits, Process, FAQ | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 8 | /insurance-claim-assistance | Pillar | 1200 | hail insurance claim Dallas | Claim steps, First Look, Supplement logic | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 9 | /free-loaner-vehicles | Pillar | 1000 | free loaner hail repair Dallas | Eligibility, Pickup, Documentation | Service | /hail-damage-repair-dallas | Bottom |
| 10 | /pickup-and-delivery-service | Pillar | 900 | pickup hail repair Dallas | Service area, Security, Scheduling | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 11 | /48-hour-completion-guarantee | Pillar | 1000 | 48 hour hail repair Dallas | Trigger rules, Conditions, FAQ | FAQPage | /hail-damage-repair-dallas | Bottom |
| 12 | /storm-damage-restoration | Pillar | 1200 | storm damage repair Dallas | Surge process, Insurance coordination | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 13 | /hail-repair-dallas | Location | 1000 | hail repair Dallas | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 14 | /hail-repair-plano | Location | 1000 | hail repair Plano TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 15 | /hail-repair-frisco | Location | 1000 | hail repair Frisco TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 16 | /hail-repair-fort-worth | Location | 1000 | hail repair Fort Worth TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 17 | /hail-repair-arlington | Location | 1000 | hail repair Arlington TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 18 | /hail-repair-denton | Location | 1000 | hail repair Denton TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 19 | /hail-repair-mckinney | Location | 1000 | hail repair McKinney TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 20 | /hail-repair-irving | Location | 1000 | hail repair Irving TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 21 | /hail-repair-garland | Location | 1000 | hail repair Garland TX | Local intro, Insurance, Loaner, FAQ | LocalBusiness | /hail-damage-repair-dallas | Bottom |
| 22 | /state-farm-hail-claims | Insurance | 900 | State Farm hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 23 | /geico-hail-damage-repair | Insurance | 900 | GEICO hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 24 | /allstate-hail-claims | Insurance | 900 | Allstate hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 25 | /progressive-hail-repair | Insurance | 900 | Progressive hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 26 | /usaa-hail-damage | Insurance | 900 | USAA hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 27 | /farmers-hail-claims | Insurance | 900 | Farmers hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 28 | /liberty-mutual-hail-claims | Insurance | 900 | Liberty Mutual hail repair Dallas | Carrier process, Supplement logic | FAQPage | /insurance-claim-assistance | Bottom |
| 29 | /pdr-vs-body-shop | Comparison | 1400 | PDR vs body shop Dallas | Comparison table, Pros/Cons | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 30 | /hail-repair-vs-repaint | Comparison | 1400 | hail repair vs repaint | Comparison table, Resale impact | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 31 | /is-hail-damage-worth-fixing | Comparison | 1200 | is hail damage worth fixing | Risk analysis, Insurance | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 32 | /how-much-does-hail-repair-cost | Comparison | 1400 | hail repair cost Dallas | Cost factors, Insurance coverage | FAQPage | /hail-damage-repair-dallas | Mid + Bottom |
| 33 | /what-is-insurance-supplement | Comparison | 1200 | insurance supplement hail | Supplement fork logic | FAQPage | /insurance-claim-assistance | Bottom |
| 34 | /how-hail-affects-resale-value | Comparison | 1200 | hail damage resale value | Value impact, Reporting | FAQPage | /hail-damage-repair-dallas | Bottom |
| 35 | /fleet-hail-repair | Fleet | 1200 | fleet hail repair Dallas | Volume process, Insurance batching | Service | /contact | Bottom |
| 36 | /dealership-hail-services | Fleet | 1200 | dealership hail repair Dallas | Dealer workflow, Pre-sale prep | Service | /contact | Bottom |
| 37 | /commercial-fleet-pdr | Fleet | 1200 | commercial fleet dent repair Dallas | Batch processing, Vendor agreements | Service | /contact | Bottom |
| 38 | /pre-sale-touch-up-services | Fleet | 1000 | pre sale dent repair Dallas | Cosmetic prep, Rapid turnaround | Service | /contact | Bottom |
| 39 | /dallas-hail-storm-2026 | Storm | 1000 | Dallas hail storm 2026 repair | Storm recap, Claim guidance | NewsArticle | /hail-damage-repair-dallas | Bottom |
